raw_name,canonical_name
OpenAI,OpenAI
Anthropic,Anthropic
Perplexity,Perplexity
Cohere,Cohere
Mistral AI,Mistral AI
Hugging Face,Hugging Face
Stability AI,Stability AI
Midjourney,Midjourney
Runway,Runway
ElevenLabs,ElevenLabs
Scale AI,Scale AI
xAI,xAI
DeepMind,DeepMind
Together AI,Together AI
Glean,Glean
Adept,Adept
Character AI,Character AI
Pika Labs,Pika Labs
Replit,Replit
Weights & Biases,Weights & Biases
OpenAI,OpenAI
Anthropic,Anthropic
Perplexity,Perplexity
Cohere,Cohere
Mistral AI,Mistral AI
Hugging Face,Hugging Face
Stability AI,Stability AI
Midjourney,Midjourney
Runway,Runway
ElevenLabs,ElevenLabs
Scale AI,Scale AI
xAI,xAI
DeepMind,DeepMind
Together AI,Together AI
Glean,Glean
Adept,Adept
Character AI,Character AI
Pika Labs,Pika Labs
Replit,Replit
Weights & Biases,Weights & Biases
OpenAI,OpenAI
Anthropic,Anthropic
Perplexity,Perplexity
Cohere,Cohere
Mistral AI,Mistral AI
Hugging Face,Hugging Face
Stability AI,Stability AI
Midjourney,Midjourney
Runway,Runway
ElevenLabs,ElevenLabs
Scale AI,Scale AI
xAI,xAI
DeepMind,DeepMind
Together AI,Together AI
Glean,Glean
Adept,Adept
Character AI,Character AI
Pika Labs,Pika Labs
Replit,Replit
Weights & Biases,Weights & Biases
OpenAI,OpenAI
Anthropic,Anthropic
Perplexity,Perplexity
Cohere,Cohere
Mistral AI,Mistral AI
Hugging Face,Hugging Face
Stability AI,Stability AI
Midjourney,Midjourney
Runway,Runway
ElevenLabs,ElevenLabs
Scale AI,Scale AI
xAI,xAI
DeepMind,DeepMind
Together AI,Together AI
Glean,Glean
Adept,Adept
Character AI,Character AI
Pika Labs,Pika Labs
Replit,Replit
Weights & Biases,Weights & Biases
OpenAI,OpenAI
Anthropic,Anthropic
Perplexity,Perplexity
Cohere,Cohere
Mistral AI,Mistral AI
Hugging Face,Hugging Face
Stability AI,Stability AI
Midjourney,Midjourney
